bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
1290	549	107	0	0	chr1	92507170	92507245	-156449177	-	LSU-rRNA_Hsa	rRNA	rRNA	-1	5034	4960	1
1298	758	165	0	8	chr1	93488330	93488452	-155467970	-	5S	rRNA	rRNA	0	121	1	1
1310	346	160	0	0	chr1	95089178	95089228	-153867194	+	5S	rRNA	rRNA	2	51	-70	1
1346	313	372	19	0	chr1	99806382	99806535	-149149887	+	SSU-rRNA_Hsa	rRNA	rRNA	631	786	-1083	1
1389	268	136	0	0	chr1	105431075	105431119	-143525303	+	5S	rRNA	rRNA	2	45	-76	1
1405	3656	120	12	4	chr1	107570449	107571011	-141385411	-	LSU-rRNA_Hsa	rRNA	rRNA	-2243	2792	2226	1
1405	474	195	0	0	chr1	107571030	107571107	-141385315	-	LSU-rRNA_Hsa	rRNA	rRNA	-2937	2098	2022	1
1418	295	354	9	0	chr1	109243558	109243671	-139712751	+	LSU-rRNA_Hsa	rRNA	rRNA	1821	1934	-3101	1
1421	275	188	127	68	chr1	109577601	109577675	-139378747	+	5S	rRNA	rRNA	1	79	-42	1
1432	605	167	0	0	chr1	111041833	111041923	-137914499	+	5S	rRNA	rRNA	1	90	-31	1
1477	552	128	0	0	chr1	116962374	116962452	-131993970	-	5S	rRNA	rRNA	-23	98	21	2
1487	562	159	0	0	chr1	118264401	118264489	-130691933	-	5S	rRNA	rRNA	-33	88	1	2
1500	1648	132	0	0	chr1	120001260	120001502	-128954920	-	LSU-rRNA_Hsa	rRNA	rRNA	-3347	1688	1447	2
1504	274	167	0	0	chr1	120561961	120562003	-128394419	+	5S	rRNA	rRNA	1	42	-79	2
1506	1823	120	0	0	chr1	120789061	120789303	-128167119	+	LSU-rRNA_Hsa	rRNA	rRNA	1447	1688	-3347	2
1511	249	195	0	0	chr1	121411378	121411419	-127545003	-	5S	rRNA	rRNA	-80	41	1	2
1679	622	138	11	0	chr1	143439606	143439693	-105516729	+	5S	rRNA	rRNA	3	90	-31	2
1685	622	138	11	0	chr1	144265218	144265305	-104691117	+	5S	rRNA	rRNA	3	90	-31	2
1688	622	138	11	0	chr1	144701070	144701157	-104255265	-	5S	rRNA	rRNA	-31	90	3	2
1697	369	145	16	0	chr1	145828195	145828257	-103128165	+	5S	rRNA	rRNA	37	99	-22	2
1700	1823	120	0	0	chr1	146160703	146160945	-102795477	-	LSU-rRNA_Hsa	rRNA	rRNA	-3347	1688	1447	2
1703	658	124	11	0	chr1	146539577	146539666	-102416756	-	5S	rRNA	rRNA	-31	90	1	2
1715	647	101	11	0	chr1	148193712	148193801	-100762621	+	5S	rRNA	rRNA	1	90	-31	2
1718	1823	120	0	0	chr1	148611621	148611863	-100344559	-	LSU-rRNA_Hsa	rRNA	rRNA	-3347	1688	1447	2
1721	256	191	0	0	chr1	148948913	148948955	-100007467	-	5S	rRNA	rRNA	-79	42	1	2
1725	1823	120	0	0	chr1	149459404	149459646	-99496776	+	LSU-rRNA_Hsa	rRNA	rRNA	1447	1688	-3347	2
1731	256	274	23	77	chr1	150266793	150266884	-98689538	-	LSU-rRNA_Hsa	rRNA	rRNA	-771	4264	4179	2
1759	277	143	0	0	chr1	153901875	153901917	-95054505	+	5S	rRNA	rRNA	1	42	-79	2
1759	277	143	0	0	chr1	153938785	153938827	-95017595	+	5S	rRNA	rRNA	1	42	-79	2
1784	600	93	0	0	chr1	157170022	157170097	-91786325	+	LSU-rRNA_Hsa	rRNA	rRNA	4960	5034	-1	2
1799	592	156	0	0	chr1	159178472	159178562	-89777860	+	5S	rRNA	rRNA	1	90	-31	2
1807	251	216	0	0	chr1	160175818	160175869	-88780553	-	5S	rRNA	rRNA	-36	85	35	2
1823	412	162	111	0	chr1	162338642	162338722	-86617700	+	5S	rRNA	rRNA	1	90	-31	2
1832	646	100	0	0	chr1	163468515	163468605	-85487817	-	5S	rRNA	rRNA	-31	90	1	2
1832	578	169	0	0	chr1	163509483	163509572	-85446850	+	5S	rRNA	rRNA	1	89	-32	2
1842	295	100	0	0	chr1	164869165	164869205	-84087217	+	5S	rRNA	rRNA	3	42	-79	2
1851	617	140	101	0	chr1	166042243	166042350	-82914072	+	5S	rRNA	rRNA	1	119	-2	2
1856	448	111	0	0	chr1	166671059	166671122	-82285300	+	LSU-rRNA_Hsa	rRNA	rRNA	1951	2013	-3022	2
1859	893	116	0	0	chr1	167005958	167006079	-81950343	+	5S	rRNA	rRNA	1	121	0	2
1873	253	327	45	0	chr1	168826686	168826793	-80129629	+	SSU-rRNA_Hsa	rRNA	rRNA	1621	1732	-137	2
1874	472	117	135	0	chr1	169067263	169067340	-79889082	+	5S	rRNA	rRNA	1	89	-32	2
1881	1269	157	5	31	chr1	169909550	169909773	-79046649	-	LSU-rRNA_Hsa	rRNA	rRNA	-10	5025	4809	2
1895	329	48	0	0	chr1	171713440	171713482	-77242940	-	5S	rRNA	rRNA	-79	42	1	2
1910	529	275	36	6	chr1	173721645	173721806	-75234616	+	LSU-rRNA_Hsa	rRNA	rRNA	1712	1877	-3158	2
1911	493	128	114	0	chr1	173921069	173921147	-75035275	+	5S	rRNA	rRNA	1	88	-33	2
1912	811	149	0	0	chr1	173969315	173969436	-74986986	-	5S	rRNA	rRNA	0	121	1	2
1918	317	71	0	0	chr1	174765280	174765322	-74191100	+	5S	rRNA	rRNA	1	42	-79	2
1925	272	178	0	0	chr1	175693701	175693746	-73262676	+	5S	rRNA	rRNA	1	45	-76	2
1935	240	182	22	0	chr1	176982529	176982573	-71973849	+	5S	rRNA	rRNA	1	45	-76	2
1947	661	124	0	0	chr1	178560912	178561001	-70395421	+	5S	rRNA	rRNA	1	89	-32	2
1971	635	144	0	0	chr1	181771565	181771655	-67184767	+	5S	rRNA	rRNA	1	90	-31	2
1975	392	80	0	0	chr1	182212452	182212502	-66743920	-	LSU-rRNA_Hsa	rRNA	rRNA	-1194	3841	3792	2
1980	656	59	0	0	chr1	182944404	182944489	-66011933	-	5S	rRNA	rRNA	-35	86	2	2
1996	780	134	16	0	chr1	185014948	185015067	-63941355	-	5S	rRNA	rRNA	0	121	1	2
2006	617	100	0	0	chr1	186372627	186372717	-62583705	+	5S	rRNA	rRNA	1	90	-31	2
2032	465	114	112	0	chr1	189666176	189666255	-59290167	-	5S	rRNA	rRNA	-31	90	2	2
2032	266	200	0	0	chr1	189777914	189777959	-59178463	-	5S	rRNA	rRNA	-76	45	1	2
2057	274	146	0	0	chr1	192970797	192970838	-55985584	+	5S	rRNA	rRNA	2	42	-79	2
2096	312	51	0	0	chr1	198084500	198084539	-50871883	+	5S	rRNA	rRNA	1	39	-82	2
2114	314	331	76	22	chr1	200459648	200459784	-48496638	-	LSU-rRNA_Hsa	rRNA	rRNA	-1326	3709	3566	2
2145	899	36	83	0	chr1	204562410	204562521	-44393901	-	5S	rRNA	rRNA	0	121	1	3
2146	484	204	0	0	chr1	204707340	204707428	-44248994	-	5S	rRNA	rRNA	-31	90	3	3
2165	334	192	0	0	chr1	207186292	207186344	-41770078	+	5S	rRNA	rRNA	2	53	-68	3
2168	262	143	0	0	chr1	207502385	207502427	-41453995	-	5S	rRNA	rRNA	-79	42	1	3
2168	353	120	0	0	chr1	207540740	207540790	-41415632	-	5S	rRNA	rRNA	-70	51	2	3
2168	353	120	0	0	chr1	207559297	207559347	-41397075	-	5S	rRNA	rRNA	-70	51	2	3
2168	373	100	0	0	chr1	207576348	207576398	-41380024	-	5S	rRNA	rRNA	-70	51	2	3
2169	309	93	0	0	chr1	207675333	207675376	-41281046	-	5S	rRNA	rRNA	-78	43	1	3
2169	345	140	0	0	chr1	207708930	207708980	-41247442	-	5S	rRNA	rRNA	-70	51	2	3
2170	413	233	41	79	chr1	207830305	207830431	-41125991	-	5S	rRNA	rRNA	0	121	1	3
2176	316	336	9	0	chr1	208590529	208590633	-40365789	+	5S	rRNA	rRNA	15	119	-2	3
2199	383	85	0	78	chr1	211625710	211625774	-37330648	-	LSU-rRNA_Hsa	rRNA	rRNA	-661	4374	4316	3
2199	383	326	37	11	chr1	211626541	211626724	-37329698	-	LSU-rRNA_Hsa	rRNA	rRNA	-704	4331	4144	3
2260	298	95	0	0	chr1	219662674	219662716	-29293706	+	5S	rRNA	rRNA	1	42	-79	3
2261	541	153	12	0	chr1	219761788	219761873	-29194549	+	5S	rRNA	rRNA	1	86	-35	3
2281	606	207	9	0	chr1	222349426	222349537	-26606885	+	LSU-rRNA_Hsa	rRNA	rRNA	2381	2492	-2543	3
2284	626	144	0	0	chr1	222696538	222696628	-26259794	-	5S	rRNA	rRNA	-31	90	1	3
2299	278	120	20	107	chr1	224663201	224663257	-24293165	-	5S	rRNA	rRNA	-70	51	1	3
2303	255	175	0	0	chr1	225261910	225261950	-23694472	+	5S	rRNA	rRNA	3	42	-79	3
2312	239	167	0	0	chr1	226468142	226468184	-22488238	-	5S	rRNA	rRNA	-79	42	1	3
2321	953	91	0	8	chr1	227561180	227561302	-21395120	+	5S	rRNA	rRNA	1	121	0	3
2328	826	72	83	0	chr1	228555792	228555903	-20400519	+	5S	rRNA	rRNA	1	121	0	3
2328	659	0	0	0	chr1	228558283	228558364	-20398058	-	5S	rRNA	rRNA	0	121	41	3
2329	1125	0	0	0	chr1	228610265	228610386	-20346036	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228612506	228612627	-20343795	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228614747	228614868	-20341554	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228616988	228617109	-20339313	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228619229	228619350	-20337072	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228621444	228621565	-20334857	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228623664	228623785	-20332637	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228625906	228626027	-20330395	-	5S	rRNA	rRNA	0	121	1	3
2329	1109	8	0	0	chr1	228628145	228628266	-20328156	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228630387	228630508	-20325914	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228632628	228632749	-20323673	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228634868	228634989	-20321433	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228637093	228637214	-20319208	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228639334	228639455	-20316967	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228641565	228641686	-20314736	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228643806	228643927	-20312495	-	5S	rRNA	rRNA	0	121	1	3
2329	1125	0	0	0	chr1	228646037	228646158	-20310264	-	5S	rRNA	rRNA	0	121	1	3
2329	563	225	0	16	chr1	228647910	228648032	-20308390	-	5S	rRNA	rRNA	-1	120	1	3
2336	785	142	8	0	chr1	229549904	229550024	-19406398	+	5S	rRNA	rRNA	1	121	0	3
2346	735	117	83	0	chr1	230820249	230820360	-18136062	+	5S	rRNA	rRNA	1	121	0	3
2349	366	234	0	49	chr1	231281447	231281528	-17674894	-	5S	rRNA	rRNA	-44	77	1	3
2350	790	259	20	0	chr1	231374319	231374512	-17581910	-	LSU-rRNA_Hsa	rRNA	rRNA	-706	4329	4133	3
2372	269	105	0	0	chr1	234301245	234301283	-14655139	-	5S	rRNA	rRNA	-76	45	8	3
2397	3134	79	48	0	chr1	237603008	237603464	-11352958	+	LSU-rRNA_Hsa	rRNA	rRNA	3637	4115	-920	3
2399	231	179	0	0	chr1	237817127	237817166	-11139256	+	5S	rRNA	rRNA	1	39	-82	3
2405	377	80	0	0	chr1	238676587	238676637	-10279785	-	5S	rRNA	rRNA	-71	50	1	3
2413	240	154	71	0	chr1	239700862	239700901	-9255521	+	5S	rRNA	rRNA	1	42	-79	3
2430	227	351	44	0	chr1	241945558	241945689	-7010733	-	LSU-rRNA_Hsa	rRNA	rRNA	-537	4498	4362	3
2430	290	79	0	0	chr1	241955080	241955118	-7001304	+	5S	rRNA	rRNA	1	38	-83	3
2432	530	191	83	9	chr1	242134271	242134382	-6822040	+	5S	rRNA	rRNA	1	120	-1	3
2471	564	117	223	0	chr1	247204567	247204661	-1751761	-	5S	rRNA	rRNA	0	121	1	3
2472	232	132	50	0	chr1	247440659	247440697	-1515725	+	5S	rRNA	rRNA	2	41	-80	3
605	272	143	0	0	chr2	2738070	2738112	-239455417	+	5S	rRNA	rRNA	1	42	-79	1
672	520	168	101	0	chr2	11517397	11517504	-230676025	+	5S	rRNA	rRNA	2	120	-1	1
673	904	78	0	0	chr2	11561664	11561779	-230631750	-	5S	rRNA	rRNA	-6	115	1	1
676	289	119	0	0	chr2	12045746	12045788	-230147741	-	5S	rRNA	rRNA	-79	42	1	1
703	313	180	0	0	chr2	15531368	15531418	-226662111	+	5S	rRNA	rRNA	2	51	-70	1
739	286	143	0	0	chr2	20286885	20286927	-221906602	+	5S	rRNA	rRNA	1	42	-79	1
740	724	80	0	0	chr2	20401636	20401724	-221791805	-	5S	rRNA	rRNA	-33	88	1	1
755	742	161	8	0	chr2	22338885	22339003	-219854526	-	5S	rRNA	rRNA	-2	119	1	1
757	326	180	0	0	chr2	22652699	22652749	-219540780	-	5S	rRNA	rRNA	-70	51	2	1
770	301	133	0	0	chr2	24364499	24364544	-217828985	+	LSU-rRNA_Hsa	rRNA	rRNA	2001	2045	-2990	1
770	817	179	0	0	chr2	24364636	24364770	-217828759	+	LSU-rRNA_Hsa	rRNA	rRNA	2279	2412	-2623	1
772	659	153	83	0	chr2	24564627	24564738	-217628791	-	5S	rRNA	rRNA	0	121	1	1
787	333	48	0	0	chr2	26571733	26571775	-215621754	-	5S	rRNA	rRNA	-79	42	1	1
797	303	119	0	0	chr2	27901703	27901745	-214291784	+	5S	rRNA	rRNA	1	42	-79	1
802	250	186	0	0	chr2	28558048	28558091	-213635438	-	5S	rRNA	rRNA	-78	43	1	1
803	504	136	110	0	chr2	28683975	28684056	-213509473	+	5S	rRNA	rRNA	1	91	-30	1
823	522	178	0	11	chr2	31228311	31228402	-210965127	+	5S	rRNA	rRNA	1	90	-31	1
830	621	225	21	21	chr2	32117321	32117462	-210076067	+	LSU-rRNA_Hsa	rRNA	rRNA	232	372	-4663	1
835	295	261	15	0	chr2	32844143	32844208	-209349321	+	SSU-rRNA_Hsa	rRNA	rRNA	385	450	-1419	1
838	301	119	0	0	chr2	33234362	33234404	-208959125	-	5S	rRNA	rRNA	-79	42	1	1
838	572	124	11	0	chr2	33285798	33285887	-208907642	-	5S	rRNA	rRNA	-31	90	1	1
839	506	161	33	0	chr2	33332897	33332984	-208860545	+	5S	rRNA	rRNA	1	90	-31	1
850	264	209	0	0	chr2	34857651	34857694	-207335835	-	5S	rRNA	rRNA	-78	43	1	1
867	324	224	17	0	chr2	37078107	37078165	-205115364	+	SSU-rRNA_Hsa	rRNA	rRNA	677	735	-1134	1
869	586	178	0	0	chr2	37317797	37317887	-204875642	-	5S	rRNA	rRNA	-31	90	1	1
927	235	167	0	0	chr2	44865885	44865927	-197327602	-	5S	rRNA	rRNA	-79	42	1	1
945	284	128	0	0	chr2	47186931	47186970	-195006559	+	5S	rRNA	rRNA	4	42	-79	1
953	284	167	0	0	chr2	48342686	48342728	-193850801	+	5S	rRNA	rRNA	1	42	-79	1
966	668	122	0	0	chr2	49969666	49969756	-192223773	-	5S	rRNA	rRNA	-31	90	1	1
995	309	125	20	0	chr2	53843928	53843976	-188349553	+	LSU-rRNA_Hsa	rRNA	rRNA	1969	2017	-3018	1
996	321	119	0	0	chr2	53946413	53946455	-188247074	+	5S	rRNA	rRNA	1	42	-79	1
1014	615	115	0	30	chr2	56235231	56235330	-185958199	-	5S	rRNA	rRNA	-25	96	1	1
1037	764	22	0	0	chr2	59322179	59322268	-182871261	+	5S	rRNA	rRNA	1	89	-32	2
1039	1440	157	4	0	chr2	59603595	59603824	-182589705	-	LSU-rRNA_Hsa	rRNA	rRNA	-1	5034	4805	2
1040	537	200	0	0	chr2	59694761	59694851	-182498678	+	5S	rRNA	rRNA	1	90	-31	2
1050	570	149	0	0	chr2	60998751	60998838	-181194691	+	5S	rRNA	rRNA	1	87	-34	2
1055	466	104	15	0	chr2	61665357	61665424	-180528105	+	LSU-rRNA_Hsa	rRNA	rRNA	1945	2012	-3023	2
1067	2059	233	79	139	chr2	63208791	63209186	-178984343	-	LSU-rRNA_Hsa	rRNA	rRNA	-728	4307	3909	2
1067	2059	233	79	139	chr2	63209240	63209505	-178984024	-	LSU-rRNA_Hsa	rRNA	rRNA	-728	3908	3640	2
1071	278	143	0	0	chr2	63770208	63770250	-178423279	+	5S	rRNA	rRNA	1	42	-79	2
1079	482	69	0	0	chr2	64875962	64876020	-177317509	-	LSU-rRNA_Hsa	rRNA	rRNA	-3069	1966	1909	2
1112	382	188	101	0	chr2	69181923	69182003	-173011526	-	5S	rRNA	rRNA	-32	89	1	2
1136	351	137	0	0	chr2	72262465	72262516	-169931013	+	5S	rRNA	rRNA	1	51	-70	2
1146	374	161	0	0	chr2	73626878	73626934	-168566595	-	5S	rRNA	rRNA	-65	56	1	2
1147	439	107	0	0	chr2	73687217	73687273	-168506256	-	5S	rRNA	rRNA	-65	56	1	2
1149	603	125	11	0	chr2	73968117	73968205	-168225324	-	5S	rRNA	rRNA	-31	90	2	2
1170	644	140	0	0	chr2	76772908	76773001	-165420528	+	5S	rRNA	rRNA	1	93	-28	2
1185	1498	67	31	70	chr2	78701595	78701866	-163491663	+	LSU-rRNA_Hsa	rRNA	rRNA	3866	4125	-910	2
1206	764	44	0	0	chr2	81496237	81496327	-160697202	-	5S	rRNA	rRNA	-31	90	1	2
1252	230	204	0	22	chr2	87492610	87492655	-154700874	+	LSU-rRNA_Hsa	rRNA	rRNA	16	59	-4976	2
1268	622	138	11	0	chr2	89600572	89600659	-152592870	+	5S	rRNA	rRNA	3	90	-31	2
1284	583	138	11	0	chr2	91674858	91674945	-150518584	+	5S	rRNA	rRNA	3	90	-31	2
1324	500	189	0	0	chr2	96956725	96956815	-145236714	-	5S	rRNA	rRNA	-31	90	1	2
1327	231	362	0	9	chr2	97304700	97304806	-144888723	-	5S	rRNA	rRNA	0	121	17	2
1328	231	362	0	9	chr2	97403695	97403801	-144789728	+	5S	rRNA	rRNA	17	121	0	2
1337	300	292	0	53	chr2	98592213	98592289	-143601240	-	LSU-rRNA_Hsa	rRNA	rRNA	-14	5021	4950	2
1351	237	162	0	0	chr2	100404565	100404602	-141788927	-	5S	rRNA	rRNA	-46	75	39	2
1352	288	128	0	0	chr2	100552651	100552690	-141640839	-	5S	rRNA	rRNA	-82	39	1	2
1435	230	204	0	22	chr2	111457570	111457615	-130735914	-	LSU-rRNA_Hsa	rRNA	rRNA	-4976	59	16	2
1457	282	95	0	0	chr2	114317697	114317739	-127875790	-	5S	rRNA	rRNA	-79	42	1	2
1461	289	93	0	0	chr2	114828202	114828245	-127365284	+	5S	rRNA	rRNA	1	43	-78	2
1461	1531	163	12	26	chr2	114937440	114937704	-127255825	-	LSU-rRNA_Hsa	rRNA	rRNA	-4522	513	254	2
1461	692	110	0	0	chr2	114937714	114937805	-127255724	+	5S	rRNA	rRNA	2	92	-29	2
1468	370	140	34	0	chr2	115752159	115752216	-126441313	-	5S	rRNA	rRNA	-62	59	1	2
1471	293	53	0	0	chr2	116242739	116242777	-125950752	+	5S	rRNA	rRNA	3	40	-81	2
1477	248	333	41	34	chr2	117023203	117023349	-125170180	+	LSU-rRNA_Hsa	rRNA	rRNA	3754	3900	-1135	2
1484	272	158	0	0	chr2	117891948	117891986	-124301543	+	5S	rRNA	rRNA	1	38	-83	2
1508	625	330	45	39	chr2	121078621	121078952	-121114577	+	SSU-rRNA_Hsa	rRNA	rRNA	1057	1389	-480	2
1514	296	163	0	0	chr2	121799962	121800005	-120393524	-	5S	rRNA	rRNA	-78	43	1	2
1538	417	165	112	0	chr2	124932914	124932993	-117260536	+	5S	rRNA	rRNA	1	89	-32	2
1556	1003	262	33	29	chr2	127291567	127291807	-114901722	-	LSU-rRNA_Hsa	rRNA	rRNA	-2404	2631	2391	2
1556	622	155	0	46	chr2	127291830	127291912	-114901617	-	LSU-rRNA_Hsa	rRNA	rRNA	-4652	383	302	2
1556	622	155	0	46	chr2	127292264	127292289	-114901240	-	LSU-rRNA_Hsa	rRNA	rRNA	-4734	301	281	2
1564	826	123	0	0	chr2	128445078	128445192	-113748337	-	5S	rRNA	rRNA	0	121	8	2
1583	372	78	0	0	chr2	130826667	130826718	-111366811	-	5S	rRNA	rRNA	-70	51	1	2
1594	14581	77	14	4	chr2	132254346	132256195	-109937334	-	SSU-rRNA_Hsa	rRNA	rRNA	0	1869	1	2
1594	9360	138	92	25	chr2	132278677	132281663	-109911866	-	LSU-rRNA_Hsa	rRNA	rRNA	-67	4968	1736	2
1609	532	214	0	0	chr2	134231195	134231284	-107962245	+	5S	rRNA	rRNA	2	90	-31	2
1629	261	182	0	0	chr2	136863472	136863516	-105330013	+	5S	rRNA	rRNA	1	44	-77	2
1634	651	125	11	0	chr2	137512124	137512212	-104681317	-	5S	rRNA	rRNA	-31	90	2	2
1651	298	167	0	0	chr2	139732661	139732703	-102460826	-	5S	rRNA	rRNA	-79	42	1	2
1673	276	167	0	0	chr2	142680431	142680473	-99513056	-	5S	rRNA	rRNA	-79	42	1	2
1711	545	88	111	0	chr2	147713474	147713554	-94479975	-	5S	rRNA	rRNA	-31	90	1	2
